Samples	17may15_004-r001	17may15_004-r002	17may15_005-r001	17may15_005-r002	17may15_006-r001	17may15_006-r002	17may15_007-r001	17may15_007-r002	17may15_008-r001	17may15_008-r002	17may15_009-r001	17may15_009-r002	17may15_010-r001	17may15_010-r002	17may15_011-r001	17may15_011-r002	17may15_012-r001	17may15_012-r002	17may15_013-r001	17may15_013-r002	17may15_014-r001	17may15_014-r002	17may15_015-r001	17may15_015-r002	17may15_016-r001	17may15_016-r002	17may15_017-r001	17may15_017-r002	17may15_018-r001	17may15_018-r002	17may15_019-r001	17may15_019-r002	17may15_020-r001	17may15_020-r002	17may15_021-r001	17may15_021-r002	17may15_022-r001	17may15_022-r002	17may15_023-r001	17may15_023-r002	17may15_024-r001	17may15_024-r002	17may15_025-r001	17may15_025-r002	17may15_026-r001	17may15_026-r002	17may15_027-r001	17may15_027-r002	17may15_028-r001	17may15_028-r002	17may15_029-r001	17may15_029-r002	17may15_030-r001	17may15_030-r002	17may15_031-r001	17may15_031-r002	17may15_032-r001	17may15_032-r002	17may15_033-r001	17may15_033-r002	17may15_034-r001	17may15_034-r002	17may15_035-r001	17may15_035-r002	17may15_036-r001	17may15_036-r002	17may15_037-r001	17may15_037-r002	17may15_038-r001	17may15_038-r002	17may15_039-r001	17may15_039-r002	17may15_040-r001	17may15_040-r002	18may15_004-r001	18may15_004-r002	18may15_005-r001	18may15_005-r002	18may15_006-r001	18may15_006-r002	18may15_007-r001	18may15_007-r002	18may15_008-r001	18may15_008-r002	18may15_009-r001	18may15_009-r002	18may15_010-r001	18may15_010-r002	18may15_011-r001	18may15_011-r002	18may15_012-r001	18may15_012-r002	18may15_013-r001	18may15_013-r002	18may15_014-r001	18may15_014-r002	18may15_015-r001	18may15_015-r002	18may15_016-r001	18may15_016-r002	18may15_017-r001	18may15_017-r002	18may15_018-r001	18may15_018-r002	18may15_019-r001	18may15_019-r002	18may15_020-r001	18may15_020-r002	18may15_021-r001	18may15_021-r002	18may15_022-r001	18may15_022-r002	18may15_023-r001	18may15_023-r002	18may15_024-r001	18may15_024-r002	18may15_025-r001	18may15_025-r002	18may15_026-r001	18may15_026-r002	18may15_027-r001	18may15_027-r002	18may15_028-r001	18may15_028-r002	18may15_029-r001	18may15_029-r002	18may15_030-r001	18may15_030-r002	18may15_031-r001	18may15_031-r002	18may15_032-r001	18may15_032-r002	18may15_033-r001	18may15_033-r002	18may15_034-r001	18may15_034-r002	18may15_035-r001	18may15_035-r002	18may15_038-r001	18may15_038-r002	18may15_039-r001	18may15_039-r002	18may15_040-r001	18may15_040-r002
C42 H4 O4	7639	1	8478	1	5649	1	1	7869	1	7762	1	9680	9732	9889	1	7175	7894	1	3934	1	9154	7349	6169	1	7206	6280	1	6452	1	1	6205	7385	6648	1	6698	5967	7287	1	1	7372	1	6224	5370	1	1	1	1	6340	1	1	6083	7723	1	6151	6560	7355	5635	1	1	1	6198	1	5773	1	6041	6765	1	6818	5321	1	1	1	7441	7415	6686	6807	4230	1	6387	6519	1	1	6835	7048	1	5671	5661	4045	1	6068	1	5604	6124	6131	1	1	5341	5372	6372	5677	1	1	6677	7421	1	6988	1	1	1	1	1	1	1	6438	1	1	5369	1	1	1	1	1	1	1	5342	1	1	5965	1	1	6760	1	6284	1	1	5608	1	5836	1	5405	6046	6362	1	1
335.0068@2.9199677	1	1	9836	1	14515	1	1	1	9447	1	1	13632	1	1	1	1	1	19987	1	1	1	1	1	15128	19555	1	23196	1	1	1	1	1	18238	14224	1	1	1	1	1	1	1	1	5499	1	51468	1	27638	1	1	1	1	1	1	1	1	1	16689	1	1	1	21954	1	21557	23249	1	1	1	1	12722	1	1	1	1	1	1	1	12162	1	1	1	12223	1	1	1	12864	15230	1	1	1	1	1	1	1	16456	1	1	26430	1	1	20782	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20086	16034	12502	14576	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14441	18017
382.9648@3.022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7016	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
279.9888@2.9728093	1	1	1	1	1	1	164205	206660	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	162185	183925	184689	1	1	1	1	103523	1	1	1	1	1	1	1	1	1	8751	1	1	1	1	1	594799	1	1	1	1	1	1	1	1	1	1	225721	1	1	251455	1	1	1	1	1	1	290722	355868	1	1	128305	1	1	17051	1	1	1	1	1	1	1	221705	1	1	1	1	1	1	1	1	1	1	1	1	1	118677	1	1	1	22798	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24991	1	1	1	1	9270	1	1	1	1	1	1	1	1	205704	1	1	182962	1	1	1	1	1	1	1	1	1
236.9262@3.03	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13776	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
264.8587@3.0396247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31129	19900	1	1	1	1	19091	1	1	1	1	14239	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	21456	1	1	1	5524	9190	1	1	1	1	1	1	1	1	1	16473	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
339.899@3.0729146	14870	1	70821	1	11613	40012	37366	1	1	1	38967	34741	1	32233	24340	30314	1	1	1	1	1	1	39082	100861	1	114327	110806	147684	11336	1	51629	1	127313	1	37615	58817	1	1	1	1	71147	1	121693	116047	1	1	108100	1	43417	1	59139	1	33885	1	1	132503	36873	49918	50161	28751	102762	1	1	1	61957	21713	1	71575	1	175122	62118	73051	1	32650	1	1	1	70318	1	1	1	48896	1	1	1	1	1	1	50543	1	103009	20583	22239	1	1	77585	1	53987	1	1	1	40735	1	140630	69812	90266	1	1	1	1	54794	1	1	51877	42444	1	221576	269429	43800	38631	43027	1	1	100259	1	46845	1	1	21976	89481	1	127152	1	1	1	96600	94230	78882	1	1	1	44068	94568	1
264.8585@3.08575	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9619	1	1	1	1	9189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11422	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
223.0655@3.067	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7567	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11447	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12013	8091	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
319.9852@3.0709999	1	1	11246	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9636	1	1	1	1	15803	9519	1	1	1	12573	11557	1	1	1	1	1	1	1	1	1	1	1	1	8042	1	1	6088	1	1	1	1	10885	1	1	1	1	1	5732	1	1	1	1	1	1	1	1	22041	1	1	1	1	1	1	5615	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12986	1	7872	1	1	1	1	1	1	1	1	1	1	36325	1	1	1	1	1	1	8514	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
196.8181@3.0752249	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	652534	1	1	181131	1	1	1	1	259141	327991	1	434992	133803	392971	1	1	157833	1	695176	1	1	544845	524809	382778	1	1	402263	1	1	1	1	596475	595545	1	1	1	571362	1	1	1	1	1	1	1	1	517659	1	1	1	1	72331	1	165459	1	378111	584004	1	238485	304757	1	470494	1	308545	320208	229449	151562	644301	590643	1	299297	1	437499	1	1	360237	1	1	1	635899	627638	533923	552842	1	407567	1	1	1	1	1	352442	1	755208	1	474973	1	1	232611	1	470991	587454	1	1	1	1	1	1	1	1	1	1	1	1	489073	262751	508415	263402	1	1	586822	1
264.8588@3.1657145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18463	15574	1	1	1	1	8067	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13868	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9629	1	1	1	1	1	7935	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9634	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
196.8179@3.1805713	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	223504	1	1	1	82068	1	1	1	1	1	90135	1	1	1	1	103752	128358	1	1	1	109210	1	1	1	1	1	1	1	1	1	123569	1	1	1	1	1	1	64678	1	1	1	1	1	1	1	1	1	1	1	1	1	102264	1	414631	1	1	1	1	1	91147	1	1	1	1	1	1	1	1	1	1	1	1	111979	1	1	70733	1	1	1	1	1	1	1	1	1	1	1	1	1	92266	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
616.1083@3.1826	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26876	1	1	1	1	1	1	1	10700	1	1	22906	1	1	1	5480	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10442	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
616.1081@3.2926667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7686	1	1	1	1	1	1	1	9224	1	12053	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
350.1739@3.4936004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18525	1	11861	5859	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	22080	13344	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
652.3806@3.5507998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12720	9524	1	6913	1	1	1	1	1	1	1	1	1	1	1	4204	1	4929	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
222.0849@3.622462	1	1	1	1	1	1	1	16059	1	1	1	1	1	1	14771	15651	44464	1	1	1	146507	80866	1	1	1	1	1	1	1	1	1	1	20444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	41705	1	44541	100409	26826	68727	17264	1	79235	1	1	1	1	1	1	1	1	14281	86791	1	1	1	1	1	1	1	1	1	1	1	1	56244	34380	56952	59003	1	1	1	1	24167	1	15140	113940	231332	78893	29214	107955	96135	93907	1	1	1	1	12726	1	1	1	1	1	103855	107215	1	1	1	1	1	59768	72970	76315	1	1	1	1	164619	170128	67365	72669	1	1	1	1	1	1	1	1	1	1
494.25@4.386	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4602	6707	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
884.5404@4.5140724	16916	22003	1	1	34672	37401	26280	26816	1	34709	1	36471	1	1	1	1	26521	1	37663	1	25333	22073	15992	13829	1	1	1	1	12540	14465	1	18916	55645	55701	23066	1	1	6609	1	21024	1	1	1	12014	1	1	33035	1	1	1	10933	10989	11261	11559	1	25440	26795	23618	27580	28092	20685	1	1	14967	26987	19855	31932	1	1	1	1	1	33367	1	15323	18913	17545	18918	11812	12025	12909	13264	17155	19643	1	1	17752	15533	15967	14982	18264	1	1	1	6140	9718	23241	22207	24283	1	1	11602	11864	12621	12953	1	18755	1	1	1	16885	16498	11804	10332	1	1	17841	1	13298	11391	19244	20408	1	1	1	1	31618	1	18398	17401	11324	16384	12851	16662	1	15226	16572	1	10349	11196	1	1	1	1
971.5336@4.5236363	1	1	1	1	3706	1	1	1	5237	5538	1	1	1	1	4666	1	1	1	6652	1	1	1	1	1	1	1	1	1	1	1	1	1	5452	5049	1	1	1	1	1	1	1	1	1	1	3079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2727	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2096	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3099
872.542@4.5352726	1	1	1	1	1	1	1	1	4916	1	1	3096	1	3107	1	1	4962	4889	8602	9060	1	1	1	1	1	1	1	1	1	1	1	1	3630	4455	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3674	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3501	1
884.5392@4.5685	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4424	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3276	1	6683	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4506
843.5373@4.5817227	1	1	9906	1	6785	7965	1	1	5713	1	4319	5364	6301	6797	1	8730	13371	12964	11352	14266	1	1	8363	7770	10064	10944	1	7741	5672	5587	1	1	9333	9163	5161	1	8897	9217	1	5026	6125	6450	4699	7217	9275	1	7276	7920	1	5483	3599	1	3418	1	1	1	1	1	1	1	4827	1	8201	8459	1	1	1	1	6294	5656	1	6373	1	1	1	1	1	5322	5631	1	1	1	8276	7196	1	5089	1	1	3307	1	1	8314	16766	16497	1	1	5920	1	1	5261	1	5129	1	4764	8219	7522	7491	8562	1	1	4373	1	7173	5397	10508	12094	7620	7811	1	1	4391	1	1	3105	7309	5735	4558	10235	1	1	7377	6121	4813	5695	14867	11175	9792	10497	1	1	8395	7698	1	5215
749.5343@4.590363	1	69870	100651	1	105112	134247	47361	51684	69014	1	1	1	119643	1	110536	98611	120943	117756	1	1	55058	63115	81621	1	121701	119451	10048	1	1	55603	1	1	125147	117559	1	1	1	107372	88003	1	1	1	1	1	76106	66961	68105	1	86276	89915	1	1	1	1	60952	35172	58257	1	10082	1	1	69000	1	1	1	1	1	1	1	1	1	81065	59401	59982	34858	21221	84479	90876	70681	67297	58896	1	121376	1	1	106435	57195	52514	1	1	1	1	1	223936	55241	69489	1	70965	1	1	79729	70311	88865	88581	1	1	112875	118272	1	1	86792	52108	117191	125203	77392	1	1	1	1	1	61685	62605	50257	1	6264	73429	1	1	81369	76453	109249	107809	1	62635	159837	1	169873	171698	59622	59756	1	124062	71273	70075
817.5219@4.589972	7418	11514	18862	17388	16840	19486	1	1	1	1	13095	1	1	1	21080	1	1	33949	1	1	13428	15813	1	1	1	8401	1	1	10229	1	10711	10260	14957	21223	1	1	17361	18239	1	1	12237	1	1	1	1	1	12355	1	1	14701	7134	6307	1	1	12376	12735	11275	14248	1	6445	12778	1	1	1	1	1	1	1	1	1	1	1	10969	1	2333	6197	16273	13657	1	1	8899	12466	1	1	1	9997	6605	9044	12543	17331	1	1	36130	31569	10607	13062	1	1	1	1	14755	11775	12258	10189	1	1	5856	19248	1	1	16828	13915	22587	19569	1	12899	1	1	6425	6524	9736	1	1	1	1	1	1	1	9096	9057	1	16470	12066	11861	1	6447	20525	25751	9959	15578	1	1	13921	12652
928.5269@4.608143	2942	1	1	1	1	1	1	1	1	1	6663	1	1	1	1	4024	16861	16883	1	6526	1	1	1	1	1	1	1	1	1	1	1	1	6046	4547	1	1	1	1	1	1	1	1	1	2799	5732	6845	1	1	1	1	1	1	1	1	1	1	1	1	4561	1	1	1	1	1	1	1	1	1	1	1	1	1	17896	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
724.5219@4.6162148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18180	19777	1	1	1	23028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13437	12845	1	1	1	1	1	1	1	19410	1	16760	1	1	1	1	1	1	1	1	1	1	1	1	9616	1	1	11135	1	1	1	1	1	44253	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13537	1	1	1	1	1	1	1	1	1	1	14136	1	1	1	1	1	1	23280	1	37514	1	1	1	1	1	1	1
998.5311@4.6205387	1	1	1	1	1	1	1	1	1	1	7062	6964	1	1	1	1	3998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5595	6692	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2950	1	1	1	1	1	1	3286	1	2892	1	1	1	1	1	1	8793	11037	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6264	4507	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4540	1
930.5433@4.6217446	6388	5164	7126	7282	1	5956	1	3286	9588	8945	16855	19337	12068	9374	11428	11435	1	1	18277	15733	1	1	5495	6574	12089	1	1	7805	1	4688	1	4598	17754	18255	8421	1	5631	1	5401	5413	7788	9328	8033	9729	23201	1	1	10209	7362	7708	2954	1	1	3916	8437	8316	7168	10401	13283	12076	7619	1	9070	9210	9097	5260	8794	10278	4883	4758	6587	5447	1	23199	1	6399	4543	4618	1	1	1	1	5098	5704	5137	5260	1	5489	1	1	6544	6767	6524	6794	4103	1	5926	1	6444	1	4372	5750	1	4876	4112	1	6113	4629	1	1	8108	8960	5978	6084	10772	8860	8368	7956	1	7641	9418	8856	1	6739	9820	11531	16461	1	9303	11050	7609	8630	1	6676	1	7694	1	8752	1	1	3421	1	12664	10184
886.5559@4.6169996	1	1	1	1	1	1	1	1	1	1	5842	1	7512	1	1	1	1	1	1	119471	6030	1	1	1	1	1	1	1	5402	1	1	1	6806	8143	4677	1	1	1	4865	6640	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5785	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5911	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5114	1	1	1	1	1	4538	1	1	1	5665	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7544	1
967.4768@4.638167	1	1	1	2645	1	1	1	1	1	1	6942	4611	1	3735	1	1	1	1	2001	1	1	1	1	1	1	1	1	1	1	1	1	1	6079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2362	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3614	3770	1	1	1	1	1	1	1	2614	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4341	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2750	1	1	1	1	1	1	1
834.5242@4.649104	22998	47066	1	1	1	1	1	30819	74415	61334	67703	110126	58366	1	59188	1	1	76506	124474	102490	47754	47514	37700	13772	75451	77906	1	1	31620	1	35341	33389	35512	50837	32105	20401	1	32189	1	1	32663	1	56204	57139	62878	95122	49693	1	19494	34893	12368	20942	39984	39779	60136	50140	52754	31273	25888	46493	46453	48345	52616	51205	29291	55876	1	43713	1	1	1	13917	47589	89594	33285	24644	1	1	1	9594	1	12434	1	36063	33251	30032	27833	14190	24669	11689	44767	42595	43052	46889	17645	15551	1	1	47615	45946	29295	1	1	23654	36438	19272	45282	19746	1	1	40758	41135	23854	20709	41439	36457	32986	9950	33849	29419	24626	43533	34983	1	45783	54901	73904	75767	1	1	1	1	40901	1	64737	58152	30587	63508	33712	27045	41334	1	85592	1
836.5386@4.655476	1	1	1	1	1	1	1	1	1	1	47920	1	1	1	1	1	30340	1	1	1	1	1	1	17146	1	1	19184	27273	1	11963	1	1	35368	22281	1	16622	15122	1	19991	20289	1	19185	1	1	1	1	1	25138	23030	1	10526	1	1	1	1	1	1	1	19931	1	1	1	1	1	26161	1	14237	40815	11043	1	1	1	37375	1	1	1	18082	1	1	11538	12796	11005	1	1	1	1	1	11621	1	8389	1	1	1	1	1	1	17558	11715	1	1	1	14540	4784	1	1	10407	1	24242	13046	1	1	1	1	1	1	1	1	1	1	1	18107	1	1	1	1	1	1	1	1	16429	13460	13073	1	15937	1	1	1	1	1	1	1	14589	1	23102
865.5733@4.643	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9306	1	1	1	1	1	1	1	1	1	1	1	1	1	4275	1	1	1	1	1	1	1	1	1	1	1	13549	1	8805	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6219	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
903.5196@4.6600595	6084	10390	12557	12963	12979	10640	1	1	9175	8939	15494	12017	10801	13122	14824	11605	1	12611	1	13335	6335	8067	1	5588	1	1	3755	11491	5964	6575	3697	3922	14536	12149	6220	6121	5208	1	7361	6641	1	1	5769	7562	1	1	1	1	1	1	1	1	1	1	9891	10383	1	1	1	1	8923	8626	1	1	7373	7705	7552	1	5680	1	1	4193	9114	1	1	1	7608	5927	1	1	1	1	8643	7556	1	1	1	1	1	1	5741	1	1	5591	1	1	6754	7857	1	1	1	1	1	1	1	1	6069	7226	4600	1	1	6386	3854	1	1	1	1	1	1	1	1	7117	6435	6876	6073	1	1	1	1	7367	1	5457	1	1	1	1	1	8270	1	1	6388	7627	11145	1
807.501@4.6655593	7047	7662	9178	8292	10702	8829	1	4686	7784	1	1	1	8511	7527	10063	9994	1	1	1	1	6609	4758	5656	6243	2677	1	8453	9551	1	4772	1	1	9319	8921	1	5309	5951	1	1	1	4922	4097	5603	1	8153	8945	1	1	1	1	1	1	1	1	1	1	7515	1	1	1	5170	5312	1	5625	1	1	14417	12852	4558	1	1	1	1	1	1	1	6198	5402	4339	4240	1	1	6037	1	1	1	1	1	1	1	4431	4331	5061	4265	1	1	1	1	7118	1	1	1	1	1	1	1	8596	1	7847	1	1	1	1	1	1	1	1	1	1	1	5416	6326	6147	6005	1	1	6796	7129	3079	1	1	1	1	2838	7340	1	8193	9520	1	1	1	1	1	1
308.1033@4.6459994	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13279	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4344	16750	1	1	1	11726	1	1	1	1	1	1	1	1	1	1	1	1	14634	15565	1	1	1	13146	1	1	1	1	1	1	1	1	1	1	1	1	13847	1	1	1	1	1	1	1	1	1	1	1	9778	10682	1	1	1	1	14538	13579	1	14328	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12044	7263	1	1
